,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,hora_bruta
1330,0,12,10,4,3,5,8
1331,0,49,10,4,3,5,8
1332,0,58,1,4,3,5,9
1333,1,44,8,4,3,5,9
1334,0,37,12,4,3,5,9
1335,1,28,0,4,3,5,11
1336,0,13,3,4,3,5,13
1337,1,90,8,4,3,5,15
1338,0,78,1,4,3,5,16
1339,1,83,0,4,3,5,16
1340,1,12,0,4,3,5,18
1341,1,52,12,4,3,5,18
1342,1,47,0,4,3,5,19
1343,0,90,1,4,3,5,19
1344,1,1,1,4,4,5,0
1345,1,58,12,4,4,5,7
1346,0,55,12,4,4,5,8
1347,0,66,12,4,4,5,8
1348,1,12,12,4,4,5,8
1349,1,11,0,4,4,5,10
1350,0,78,3,4,4,5,10
1351,1,75,0,4,4,5,11
1352,1,79,0,4,4,5,11
1353,0,14,3,4,4,5,12
1354,1,12,0,4,4,5,14
1355,1,51,12,4,4,5,14
1356,1,12,0,4,4,5,15
1357,0,13,0,4,4,5,18
1358,0,39,12,4,4,5,18
1359,1,50,1,4,4,5,19
1360,0,57,1,4,5,5,8
1361,1,49,1,4,5,5,9
1362,0,49,10,4,5,5,9
1363,0,10,9,4,5,5,10
1364,0,78,0,4,5,5,15
1365,0,40,0,4,5,5,20
1366,0,89,0,4,5,5,20
1367,0,12,1,4,5,5,21
1368,1,49,1,4,6,5,1
1369,0,13,1,4,6,5,8
1370,0,49,7,4,6,5,14
1371,1,47,0,4,6,5,15
1372,0,81,7,4,6,5,15
1373,0,45,0,4,6,5,16
1374,1,75,7,4,6,5,18
1375,0,39,1,4,6,5,18
1376,1,92,12,4,6,5,20
1377,0,7,11,4,6,5,22
1378,1,50,0,4,0,5,7
1379,1,39,0,4,0,5,9
1380,0,49,1,4,0,5,10
1381,1,39,12,4,0,5,17
1382,0,86,3,4,0,5,18
1383,1,92,0,4,0,5,19
1384,1,88,0,4,0,5,20
1385,1,13,12,4,0,5,22
1386,1,66,0,4,1,5,6
1387,0,0,0,4,1,5,6
1388,1,0,0,4,1,5,7
1389,1,90,1,4,1,5,12
1390,1,58,12,4,1,5,12
1391,1,64,12,4,1,5,15
1392,0,23,1,4,1,5,15
1393,1,42,0,4,1,5,16
1394,1,40,0,4,1,5,16
1395,0,13,1,0,1,5,19
1396,0,45,3,0,1,5,20
1397,0,1,1,0,1,5,22
1398,1,39,1,0,2,5,7
1399,1,12,0,0,2,5,8
1400,0,58,1,0,2,5,8
1401,0,69,10,0,2,5,11
1402,0,1,1,4,2,5,15
1403,0,22,1,4,2,5,16
1404,0,81,3,4,2,5,16
1405,0,6,0,4,2,5,17
1406,0,78,10,4,2,5,17
1407,1,78,0,4,2,5,19
1408,1,12,0,4,2,5,20
1409,0,48,12,4,2,5,20
1410,1,1,8,0,2,5,23
1411,1,12,12,0,3,5,5
1412,1,45,7,0,3,5,7
1413,1,58,1,4,3,5,7
1414,0,83,1,4,3,5,8
1415,1,13,8,4,3,5,9
1416,1,45,12,0,3,5,10
1417,0,12,1,4,3,5,14
1418,1,79,0,4,3,5,14
1419,0,73,1,4,3,5,15
1420,1,13,0,4,3,5,16
1421,0,56,1,4,3,5,18
1422,1,58,12,4,3,5,19
1423,0,22,0,0,3,5,22
1424,1,40,12,0,3,5,22
1425,1,78,0,4,4,5,8
1426,1,45,0,4,4,5,9
1427,0,81,0,4,4,5,9
1428,1,57,0,4,4,5,10
1429,0,37,0,4,4,5,12
1430,0,8,1,0,4,5,12
1431,1,12,0,4,4,5,13
1432,1,81,0,0,4,5,15
1433,0,12,1,4,4,5,15
1434,1,79,0,4,4,5,19
1435,0,55,9,4,4,5,20
1436,0,18,1,4,4,5,22
1437,0,49,3,4,5,5,7
1438,0,64,0,4,5,5,9
1439,0,90,12,4,5,5,9
1440,0,24,1,4,5,5,13
1441,0,78,9,4,5,5,15
1442,0,22,1,4,5,5,19
1443,0,81,1,4,6,5,0
1444,1,51,8,4,6,5,1
1445,0,8,1,4,6,5,11
1446,1,23,12,4,6,5,11
1447,1,49,0,4,6,5,14
1448,0,92,3,4,6,5,17
1449,0,49,14,4,6,5,17
1450,0,15,3,4,6,5,22
1451,0,1,1,4,6,5,23
