,natureza_acidente,bairro,tipo,dia_da_semana,mes,ano,hora_bruta
309,1,25,9,4,1,2018,8
310,1,31,9,4,1,2018,10
311,1,40,9,4,1,2018,10
312,1,23,9,4,1,2018,11
313,1,13,9,4,1,2018,11
314,1,74,9,4,1,2018,11
315,1,59,9,4,1,2018,11
316,1,8,9,4,1,2018,12
317,1,4,2,4,1,2018,12
318,1,6,9,4,1,2018,12
319,1,50,9,4,1,2018,12
320,1,12,9,4,1,2018,12
321,1,12,9,4,1,2018,13
322,0,23,9,4,1,2018,13
323,1,42,9,4,1,2018,15
324,1,81,9,4,1,2018,16
325,0,1,9,4,1,2018,17
326,1,23,9,4,1,2018,18
327,0,13,10,4,1,2018,18
328,1,53,9,4,1,2018,18
329,0,69,13,4,1,2018,19
330,1,90,9,4,1,2018,19
331,1,13,9,4,1,2018,19
332,0,24,9,4,1,2018,22
333,0,13,9,5,1,2018,1
334,1,51,9,5,1,2018,8
335,1,90,9,5,1,2018,8
336,1,12,9,5,1,2018,8
337,1,25,9,5,1,2018,9
338,1,87,9,5,1,2018,9
339,1,58,9,5,1,2018,9
340,1,75,9,5,1,2018,9
341,1,37,9,5,1,2018,9
342,1,69,9,5,1,2018,9
343,1,74,9,5,1,2018,10
344,1,23,9,5,1,2018,11
345,1,45,9,5,1,2018,12
346,1,12,9,5,1,2018,13
347,1,8,9,5,1,2018,15
348,1,13,9,5,1,2018,15
349,0,22,9,5,1,2018,15
350,1,69,9,5,1,2018,15
351,1,85,6,5,1,2018,16
352,1,31,9,5,1,2018,18
353,1,49,9,5,1,2018,20
354,0,8,9,5,1,2018,20
355,1,92,9,5,1,2018,20
356,1,78,9,5,1,2018,21
357,0,12,9,5,1,2018,22
358,1,81,9,5,1,2018,22
359,1,22,9,6,1,2018,2
360,1,1,6,6,1,2018,5
361,1,38,9,6,1,2018,6
362,1,46,9,6,1,2018,7
363,1,86,9,6,1,2018,8
364,1,1,9,6,1,2018,14
365,1,73,9,6,1,2018,16
366,1,12,9,6,1,2018,18
367,1,83,9,6,1,2018,19
368,1,74,9,6,1,2018,19
369,0,25,9,6,1,2018,20
370,1,81,9,0,1,2018,1
371,0,14,9,0,1,2018,2
372,1,1,6,0,1,2018,2
